Timestamp,Person,Emotion
1700487424.5541172,person236,neutral
1700487424.807171,person237,neutral
1700487425.1492374,person238,neutral
1700487425.4286587,person239,neutral
1700487425.687201,person240,neutral
1700487425.9443085,person241,neutral
1700487426.2033303,person242,neutral
1700487426.4613833,person243,neutral
1700487426.7233999,person244,neutral
1700487426.977996,person245,neutral
1700487427.237517,person246,neutral
1700487427.5045362,person247,neutral
1700487427.7625675,person248,neutral
1700487428.025601,person249,neutral
1700487428.2796605,person250,neutral
1700487428.5417001,person251,neutral
1700487428.8002703,person252,neutral
1700487429.059296,person253,sad
1700487429.3398385,person254,neutral
1700487429.647982,person255,fear
1700487429.8274906,person256,neutral
1700487430.0825386,person257,neutral
1700487430.3495557,person258,neutral
1700487430.6085749,person259,neutral
1700487430.8635986,person260,neutral
1700487431.1286259,person261,neutral
1700487431.384156,person262,neutral
1700487431.6481848,person263,neutral
1700487431.9072208,person264,neutral
1700487432.1752424,person265,neutral
1700487432.4353173,person266,neutral
1700487432.695379,person267,happy
1700487432.9564009,person268,happy
1700487433.2183306,person269,happy
1700487433.5690093,person270,happy
1700487433.8596375,person271,fear
1700487434.0296621,person272,happy
1700487434.290236,person273,happy
1700487434.5632682,person274,neutral
1700487434.828303,person275,neutral
1700487435.120457,person276,neutral
1700487435.3875544,person277,neutral
1700487435.687135,person278,neutral
1700487435.9732742,person279,neutral
1700487436.2753212,person280,neutral
1700487436.5548513,person281,neutral
1700487436.815911,person282,neutral
1700487437.1259701,person283,neutral
1700487437.4261425,person284,neutral
1700487437.7964082,person285,neutral
1700487438.4345148,person286,neutral
1700487438.8180106,person287,neutral
1700487439.1615863,person288,neutral
